topic,top_words
Topic 1,"arbetar, svt, läs, stå, kampanjen, miljoner, fakta, svårt, relevant, berätta, sverige, sant, bekräftade, annat, akuta"
Topic 2,"mån, trump, oktober, därefter, vår, fram, emma, nya, ingen, skriver, usa, årets, redan, bästa, artiklar"
Topic 3,"wallin, virtanen, cissi, fredrik, medier, aftonbladet, anklagelserna, flera, oktober, förtal, enligt, sociala, anklagelser, inlägg, tidigare"
Topic 4,"akademien, kulturprofilen, svenska, två, mannen, våldtäkt, arnault, fall, sara, hurtig, dagens, björn, kallade, danius, hovrätten"
Topic 5,"vittnar, skriver, svenska, upprop, flera, uppropet, kvinnliga, oktober, kampanjen, berättar, några, senare, weinstein, sexism, medier"
Topic 6,"män, någon, varit, utan, allt, göra, tror, gör, kanske, bli, ser, blev, ingen, tycker, själv"
Topic 7,"nilsson, kvinnan, stefan, enligt, flera, fick, skriver, rörelsen, varit, ryssland, uppropet, samtidigt, skådespelare, misslyckats, stora"
Topic 8,"våld, procent, män, sverige, fram, rörelsen, kvinnors, uppropet, fler, enligt, göra, sexuellt, vittnesmål, berättelser, fick"
