topic,top_words
Topic 1,"belästigung, man, sexuelle, männer, unter, wurde, gewalt, frau, sei, debatte, viele, immer, opfer, mann, sexueller"
Topic 2,"man, debatte, zeit, gibt, mich, film, immer, deutschland, wedel, schon, jetzt, sei, ihrer, viel, mir"
Topic 3,"jahres, bewegung, kinder, person, übergriffe, männer, swift, trump, seit, magazin, gemeinsam, weinstein, ball, eltern, judd"
Topic 4,"weinstein, vorwürfe, harvey, wurde, bewegung, sexuelle, york, hollywood, sei, sexueller, unter, übergriffe, wegen, schauspielerin, argento"
Topic 5,"trump, präsident, donald, mueller, russland, trumps, ermittlungen, hexenjagd, sei, washington, worden, präsidenten, seinen, regierung, unter"
Topic 6,"www, besonders, jetzt, prozent, http, erste, zeigen, aktien, ots, presseportal, newsroom, viele, via, rss, korrektur"
Topic 7,"deneuve, catherine, berlinale, sexuelle, debatte, false, freiheit, frankreich, csd, berlin, interview, true, gewalt, sei, pulitzer"
Topic 8,"trump, präsident, donald, ukraine, andrej, bachelor, newsblog, demokraten, biden, selenskyj, jennifer, netanjahu, usa, ermittlungen, wegen"
