url,title,published,outlet,title_was_encoded,keywords_matched,keyword_stances,n_keywords,n_support,n_backlash,has_hashtag_term,article_stance,article_type,source_country,year,status,chars
https://www.knoxnews.com/story/news/nation-now/2018/07/25/metoo-risque-photos-fish-turtle-conference/835252002/,,2018-07-26 02:15:00 UTC,knoxnews.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,4363
https://www.eldiarionuevodia.com.ar/local/info-general/2019/11/15/reyes-propone-que-se-destinen-bienes-recuperados-de-la-corrupcion-para-albergar-victimas-de-violencia-de-genero-97368.html,Reyes propone que se destinen bienes recuperados de la corrupción para albergar a víctimas de violencia de género,2019-11-15 19:30:00 UTC,eldiarionuevodia.com.ar,True,violencia de género,violencia de género [Support],1,1,0,False,Support,News/Reporting,Argentina,2019,FETCH_FAILED,0
http://expansion.mx/tendencias/2018/01/09/100-mujeres-francesas-se-manifiestan-contra-el-metoo,,2018-01-10 00:15:00 UTC,expansion.mx,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2018,OK,3744
https://www.plovdiv24.bg/novini/plovdiv/Mnogo-losha-novina-za-zhenata-koyato-834699,,2018-12-12 13:45:00 UTC,plovdiv24.bg,False,#LoSHA,#LoSHA [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2018,NO_TEXT,0
https://www.cameroun-online.com/fr/actualit%c3%a9s/cameroun-un-soldat-camerounais-au-tribunal-pour-viol-sur-mineure,,2018-07-25 18:15:00 UTC,cameroun-online.com,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,Cameroon,2018,FETCH_FAILED,0
https://www.lanacion.com.ar/2155118-investigan-la-muerte-de-un-padre-y-su-hijo-como-una-venganza-de-presos-por-femicidio,,2018-07-21 07:30:00 UTC,lanacion.com.ar,False,femicidio,femicidio [Support],1,1,0,False,Support,News/Reporting,Argentina,2018,FETCH_FAILED,0
https://postcourier.com.pg/alcohol-related-sexual-violence-puts-stress-on-hospitals/,Alcohol related sexual violence puts stress on hospitals,2019-11-04 06:00:00 UTC,postcourier.com.pg,False,sexual violence,sexual violence [Support],1,1,0,False,Support,News/Reporting,UNKNOWN,2019,TOO_SHORT,252
https://billypenn.com/2018/11/16/the-metoo-movement-fell-flat-in-the-pennsylvania-legislature/,,2018-11-16 15:00:00 UTC,billypenn.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2018,OK,5027
http://www.oanow.com/apwire/news/national/female-lawmaker-and-metoo-leader-in-california-legislature-cleared-of/article_2a84c171-5d59-5145-9140-9177a9315679.html,,2018-05-18 00:00:00 UTC,oanow.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
http://www.bcdemocrat.com/2018/03/21/as-skorea-metoo-revolution/,,2018-03-22 08:15:00 UTC,bcdemocrat.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
http://www.ipswichstar.co.uk/news/business/topshop-owner-philip-green-businessman-metoo-scandal-uk-1-5752480,,2018-10-25 19:15:00 UTC,ipswichstar.co.uk,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United Kingdom,2018,FETCH_FAILED,0
https://www.diariodenavarra.es/noticias/actualidad/internacional/2019/08/30/el-asesinato-grabado-emine-bulut-feminicidio-que-indignado-turquia-662923-1032.html,,2019-08-30 13:30:00 UTC,diariodenavarra.es,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Spain,2019,OK,5482
https://actu.fr/bretagne/saint-malo_35288/un-lyceen-ecroue-apres-viol-dune-eleve-dans-lycee-saint-malo_21951891.html,,2019-03-08 12:00:00 UTC,actu.fr,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,UNKNOWN,2019,FETCH_FAILED,0
https://www.expressen.se/noje/petra-medes-starka-metoo-inledning/,,2018-01-22 20:45:00 UTC,expressen.se,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,Sweden,2018,OK,1334
