topic,top_words
Topic 1,"allegations, harassment, court, state, former, investigation, accused, case, akbar, kavanaugh, house, alleged, statement, claims, made"
Topic 2,"music, kelly, song, industry, show, best, performance, star, awards, media, singer, night, grammys, radio, color"
Topic 3,"harassment, men, assault, workplace, many, sex, people, victims, company, work, employees, male, culture, cosby, even"
Topic 4,"harassment, allegations, accused, film, actor, media, india, industry, director, statement, actress, misconduct, allen, assault, woman"
Topic 5,"police, court, case, rape, delhi, nirbhaya, death, india, justice, milano, singh, accused, december, convicts, petition"
Topic 6,"trump, weinstein, president, hollywood, harvey, harassment, clinton, burke, assault, men, york, allegations, times, argento, white"
Topic 7,"like, people, men, know, think, don, now, get, way, even, woman, man, story, really, didn"
Topic 8,"violence, abuse, harassment, university, gender, students, public, victims, people, social, country, support, media, girls, school"
