topic,top_words
Topic 1,"hombres, sociales, redes, país, feminista, trabajo, política, estados, campaña, presidente, tema, mujer, nuestros, gobierno, nuestro"
Topic 2,"sexual, acoso, metoo, movimiento, sexuales, abuso, abusos, sido, acusaciones, weinstein, actriz, manada, violación, caso, denuncia"
Topic 3,"violencia, género, víctimas, casos, mujer, nacional, estado, ley, feminicidio, cada, atención, protección, además, denuncias, gobierno"
Topic 4,"violencia, género, igualdad, madrid, vox, gobierno, machista, ayuntamiento, internacional, partido, córdoba, lucha, acto, jueves, formación"
Topic 5,"feminicidio, estado, puebla, autoridades, universidad, investigación, político, violador, caso, justicia, fiscalãa, estudiante, general, casa, estudiantes"
Topic 6,"casa, familia, madre, estaba, hija, mujer, justicia, vida, tenía, hace, vez, hacer, hijos, nunca, violencia"
Topic 7,"mujer, pareja, cuerpo, víctima, policía, hombre, joven, femicidio, casa, lugar, luego, feminicidio, detenido, hecho, crimen"
Topic 8,"delito, prisión, víctima, fiscal, juicio, fiscalía, caso, audiencia, penal, juez, femicidio, tribunal, justicia, feminicidio, sentencia"
