topic,top_words
Topic 1,"justiça, crime, vítima, tribunal, júri, acusado, feminicídio, defesa, réu, julgamento, juiz, público, condenado, prisão, homicídio"
Topic 2,"mulheres, sobre, dia, pessoas, violência, muito, gente, ainda, sociedade, campanha, nós, país, estão, governo, grupo"
Topic 3,"comentários, vítima, tatiane, advogada, crime, polícia, defesa, felipe, prédio, paraná, após, dia, manvailer, gazeta, spitzner"
Topic 4,"sexual, mulheres, assédio, metoo, sobre, movimento, ter, muito, atriz, homens, pessoas, acusações, abuso, trabalho, weinstein"
Topic 5,"feminicídio, violência, lei, mulheres, crime, doméstica, justiça, maria, penha, projeto, pena, crimes, casos, câmara, pública"
Topic 6,"violência, mulheres, casos, feminicídio, vítimas, estado, segurança, brasil, segundo, dados, gênero, número, crime, pública, ainda"
Topic 7,"letra, brasileira, seleção, música, série, divulgação, primeira, neste, domingo, vôlei, melhor, feminina, brasileiro, noite, arte"
Topic 8,"polícia, crime, vítima, casa, feminicídio, estava, segundo, suspeito, caso, após, homem, preso, civil, dia, corpo"
