topic,top_words
Topic 1,"femmes, comme, aussi, harcèlement, hommes, victimes, elles, violences, contre, peut, bien, sexuelles, ils, femme, entre"
Topic 2,"weinstein, femmes, harvey, metoo, accusé, accusations, producteur, actrice, mouvement, aussi, york, américain, contre, depuis, plusieurs"
Topic 3,"victime, cour, fille, jeune, homme, accusé, prison, ils, procès, police, devant, policiers, assises, condamné, tribunal"
Topic 4,"jeune, garde, examen, vue, enquête, femme, parquet, plainte, homme, paris, judiciaire, placé, aurait, sous, détention"
Topic 5,"harcèlement, enquête, justice, sexuel, balancetonporc, muller, sandra, assange, gilbert, contre, ancien, tribunal, patrick, lors, julian"
Topic 6,"réalisateur, adèle, haenel, polanski, actrice, film, roman, christophe, justice, ruggia, sexuel, harcèlement, cinéma, enquête, alors"
Topic 7,"ramadan, tariq, plainte, femme, neymar, paris, depuis, suisse, contre, enquête, islamologue, ayari, hôtel, henda, avocat"
Topic 8,"plainte, enquête, darmanin, ministre, plaignante, accusations, suite, parquet, contre, femme, ronaldo, paris, affaire, sans, aurait"
